﻿Venue Name,Venue address,Venue type,Latitude,Longitude,Suburb,suburb_list,geolocation
"Enoggera Bowls Club, Enoggera","Enoggera Bowls Club, 72 Pickering Street, Enoggera",Non-Council venue,-27.420384,152.9927369,Enoggera,"E, Enoggera","-27.420384, 152.9927369"
"Enoggera Creek Reserve, Ashgrove","Enoggera Creek Reserve, 547 Waterworks Road, Ashgrove",Park,-27.4462,152.9763,Ashgrove,"A, Ashgrove","-27.4462, 152.9763"
"Enoggera Memorial Park, Enoggera","Enoggera Memorial Park, 95 Hurdcotte Street, Enoggera",Park,-27.4142,152.9878,Enoggera,"E, Enoggera","-27.4142, 152.9878"
"Enoggera Reservoir Park, Enoggera Reservoir","Enoggera Reservoir Park, 36 Mt Nebo Road, Enoggera Reservoir",Park,-27.442,152.9269,Enoggera Reservoir,"E, Enoggera Reservoir","-27.442, 152.9269"
"Eric Shaw Park, Wynnum","Eric Shaw Park, 64 Selina Street, Wynnum",Park,-27.4368,153.1642,Wynnum,"W, Wynnum","-27.4368, 153.1642"
"Eric Sivell Park, Coorparoo","Eric Sivell Park, 171 Boundary Road, Coorparoo",Park,-27.504,153.0735,Coorparoo,"C, Coorparoo","-27.504, 153.0735"
"Eridanus Street Park, Inala","Eridanus Street Park, 45 Eridanus Street, Inala",Park,-27.5999,152.9627,Inala,"I, Inala","-27.5999, 152.9627"
"Esplanade Park, Yeronga","Esplanade Park, 50 Esplanade, Yeronga",Park,-27.5151,153.0025,Yeronga,"Y, Yeronga","-27.5151, 153.0025"
"Essex Road Park, Indooroopilly","Essex Road Park, 12 Essex Road, Indooroopilly",Park,-27.4995,152.9822,Indooroopilly,"I, Indooroopilly","-27.4995, 152.9822"
"Eucalypt Place Park, Bracken Ridge","Eucalypt Place Park, 21 Eucalypt Place, Bracken Ridge",Park,-27.3256,153.0158,Bracken Ridge,"B, Bracken Ridge","-27.3256, 153.0158"
"Eugenia Street Park, Richlands","Eugenia Street Park, 35 Razark Street, Richlands",Park,-27.5861,152.964,Richlands,"R, Richlands","-27.5861, 152.964"
"Eungella Terrace Park, Forest Lake","Eungella Terrace Park, 119 Sanctuary Drive, Forest Lake",Park,-27.6342,152.982,Forest Lake,"F, Forest Lake","-27.6342, 152.982"
"Evans Road Park, Moorooka","Evans Road Park, Evans Road, Moorooka",Park,-27.5426997,153.0215802,Moorooka,"M, Moorooka","-27.5426997, 153.0215802"
"Evelyn Road Park, Wynnum West","Evelyn Road Park, 180 Kianawah Road, Wynnum West",Park,-27.4517,153.1446,Wynnum West,"W, Wynnum West","-27.4517, 153.1446"
"Evergreen Place Park, Murarrie","Evergreen Place Park, 41 Rosewood Place, Murarrie",Park,-27.4647,153.0922,Murarrie,"M, Murarrie","-27.4647, 153.0922"
Everton Park Library,"Everton Park Library, 573 South Pine Road, Everton Park",Library,-27.4055,152.9902,Everton Park,"E, Everton Park","-27.4055, 152.9902"
"Ewan Place Park, Bracken Ridge","Ewan Place Park, 27 Ewan Place, Bracken Ridge",Park,-27.3262,153.028,Bracken Ridge,"B, Bracken Ridge","-27.3262, 153.028"
"F. R. Caterson Park, Mansfield","F. R. Caterson Park, 730 Mt Gravatt-Capalaba Road, Mansfield",Park,-27.542675,153.113365,Mansfield,"M, Mansfield","-27.542675, 153.113365"
Fairfield Library,"Fairfield Library, Fairfield Gardens Shopping Centre, 180 Fairfield Road, Fairfield",Library,-27.5088,153.0246,Fairfield,"F, Fairfield","-27.5088, 153.0246"
"Fairfield Park, Fairfield","Fairfield Park, 94 Fairfield Road, Fairfield",Park,-27.5035,153.0267,Fairfield,"F, Fairfield","-27.5035, 153.0267"
